title,release year,genre,key words,plot,run time /min,number of votes,rating
Kept Woman,2015,Thriller,new-neighbor|suburb|prison|neighbor|confinement|female-protagonist|isolation|locked-in-a-room|unlawful-confinement|imprisonment|neighbor-neighbor-relationship|missing|disappearance|mysterious-disappearance|book|typewriter|password|combination|knife|attacking|man-with-glasses|police-officer|lost-person|lost-woman|deception|lying|killing|screaming|obedience|kidnapping|television|wine|wine-cellar|new-home|professor|home-invasion|stalker|brainwashing|basement|robbery|abduction|rhubarb-pie|pie|roast-beef|ham|computer|security-camera|hidden-entrance|electric-stove|policeman|internet-search|murder|author|theft|house-for-sale|dinner-guest|creepy-neighbor|missing-women|student|dress|breaking-and-entering|woman|held-captive|woman-held-captive,"A woman and her fiancé move to the suburbs, after being robbed. She becomes friendly with the mysterious man next door, who she begins to suspect is hiding a dangerous secret.",83,1613,6.2
An Amish Murder,2013,Drama|Mystery|Thriller,tape-over-mouth|amish|murder|serial-killer|public-nudity|child-abuse|fight|handcuffs|punishment|father-son-relationship|bed|bare-chested-male|infidelity|tied-feet|based-on-book,A murder investigation in her hometown triggers deep-seated emotions in an Ohio police chief who came from the Amish community.,85,1613,6.2
Just Friends,2018,Comedy|Romance,gay-lead-character|gay|gay-interest|gay-love|gay-son|gay-brother|gay-couple|gay-relationship|islamophobia|plastic-surgery|mother-son-relationship|father-son-relationship|grandmother-grandson-relationship|surfing-instructor|medical-student|college-dropout|rainbow-flag|tattoo|kite-flying|workout|gay-character|gay-protagonist|gay-man|gay-kiss|gay-grandson|gay-slur|gay-romance|gay-cinema|gay-youth|gay-lover|gay-boyfriend|gay-flirting|gay-affair|gay-taunting|gay-dating|gay-kissing|gay-males|gay-film|unrequited-love|rejection|reconciliation|kite|drug-use|cremation-urn|male-rear-nudity|bare-chested-male|bare-butt|male-in-underwear|homoeroticism|homoerotic|lgbt-cinema|surprise-party|amsterdam|death-of-a-cat|breakup|veterinary|taking-off-underwear|cfnm|cfnm-scene|clothed-female-naked-male|selfish-woman|subtitled-scene|boyfriend-boyfriend-relationship|immigrant|syrian-abroad|syrian-in-the-netherlands|diner|homophobia|homophobic-remark|kissing-someone's-hand|gay-lead-role|mother-daughter-relationship|oral-sex|male-male-kiss|surfing-lesson|stationary-bicycle|mother-daughter-conflict|xenophobia|xenophobic-woman|80th-birthday|nosy-neighbor|taking-a-selfie|sexual-attraction|taking-off-shirt|cleaner|gym|human-ashes|beach|gay-sex|male-nudity|male-objectification|two-word-title|barefoot-male|erotica|younger-version-of-character|nudity|scene-during-end-credits|sitting-on-stairs|lighthouse|last-wish|taking-to-dead-father|tattooer|birthday-gift|trip-to-amsterdam|birthday-party|party|garage|learning-the-truth|crying-woman|crying-female|crying|veterinarian|taxi|paddle|surf|surfing|surfer|barefoot-female|drunkenness|talking-to-an-animal|talking-to-a-cat|watching-a-video|egocentric-woman|knocking-on-door|crying-male|crying-man|alcoholic-mother|fight|restaurant|homophobe|homophobic-man|homophobic-slur|self-pity|taking-off-shoes|reference-to-julian-stevens|text-message|selfish-mother|undressing|undressing-someone|megaphone|death-by-heart-attack|architect|gramophone|gramophone-record|reference-to-bon-iver|man-in-swimsuit|urinating|urination|jealous-woman|jealousy|key|xenophobe|reference-to-benito-mussolini|lonely-man|loneliness|note|neighbor|motorbike|motorcycle|taking-a-picture|selfie|cleaning-man|cat|brother-sister-relationship|framed-photograph|photograph|old-woman|business-card|new-job|job-interview|voyeur|voyeurism|sexual-frustration|working-out|alcoholic|female-alcoholic|eavesdropping|secretly-observing|meet-cute|ashes|windsurfing|job-seeking|surf-instructor|male-male-hug|whistling|whistling-on-fingers|riding-a-bicycle|riding-a-bike|reunion|split-screen|taking-a-photograph|teenager|teenage-girl|biblical-reference|reference-to-jesus-christ|hairy-chest|lighting-a-cigarette|slow-motion-scene|tank-top|man-wearing-a-tank-top|bus-stop|bus|camera-shot-of-feet|cabriolet|urn|flashback|loss-of-father|shopping-center|mall|escalator|sneaky-mother|nosy-mother|reference-to-adolf-hitler|mother's-day|telephone-call|phone-call|windmill|man-wearing-sunglasses|drone|riding-a-motorcycle|riding-a-motorbike|male-masturbation|masturbation|cigar-smoking|cigarette-smoking|woman-wears-eyeglasses|woman-wears-sunglasses|looking-at-oneself-in-a-mirror|fellatio|woman-smoker|drinking-from-a-bottle|death-of-father|title-spoken-by-character,"6 time Award winning romantic comedy about two young men, from mixed backgrounds, falling love ...and their clashes with their overbearing mothers.",80,1610,7.1
"I Do, I Do, I Do",2015,Comedy|Fantasy|Romance,time-loop|trapped-in-a-time-loop|groundhog-day|kiss|underwear|party|rascal|ritual|brother-brother-relationship|boxer-shorts|beach|bare-chested-male|infidelity,An architect relives her disastrous wedding day over and over until she discovers what she really wants in life.,84,1608,6.2
The Good Witch's Gift,2010,Drama|Family|Fantasy,wedding|christmas|fight|gift|in-laws|theft|father-son-relationship|boy|thief,"Almost as soon as Jake and Cassie decide to get married on Christmas Eve, complications arise. Ex-con Leon Deeks arrives in town, and Jake is asked by the mayor to make him his top priority. At the same time, Jake's having trouble securing the wedding license since he can't find Cassie's documents proving her existence. There's also the difficulty in finding a wedding cake at the last minute. Last but not least, Jake's kids are upset: Brandon wants to spend time with his new girlfriend, and is feuding with his sister Lori. Meanwhile, Lori manages to lose Cassie's wedding ring.",83,1603,7.3
Carrie Fisher: Wishful Drinking,2010,Documentary|Comedy,one-woman-show,"Hollywood icon Carrie Fisher tells her raw and intoxicating true story in this documentary based on her hit stage production. Touching on stardom, mental illness, addiction and more, the actress recounts her peaks and valleys with candor and humor.",77,1602,7.6
The Shunning,2011,Drama,baby|lancaster-county|amish|sheet-music|unwed-mother|wheelchair|bus-trip|mother-son-relationship|listening-to-the-radio|father-son-relationship|horse-drawn-plow|pregnant-teenager|husband-wife-relationship|brother-sister-relationship|horse-and-carriage|search|grief|wedding|community|cut-finger|neighbor|attic|blood|countryside|promise|map|tears|secret|acoustic-guitar|letter|chauffeur|single-father|nurse|tumor|hay|doctor|livestock|bedridden|barn|pregnancy|anger|hospital|rural-setting|limousine|religion|guitarist|oil-lamp|widower|singing|farm|pennsylvania|mother-daughter-relationship|buggy|family-relationships|shunning|adopted-daughter|father-daughter-relationship|identity-crisis|religious-community|family-secret|flashback|guitar|female-protagonist|based-on-novel,"Beautiful Katie Lapp has always felt something missing in her simple Amish existence -- until a mysterious ""Englisher"" comes to Lancaster County looking for the baby girl she gave up for adoption 19 years ago.",88,1601,6.3
Northern Lights,2009,Drama|Mystery|Romance,dog|theft|bear|knife|fight|love|monster|fistfight|dancing|dinner|brother-brother-relationship|bed|bare-chested-male|based-on-novel|title-spoken-by-character,"Nate Burns accepts a job as chief of police in Lunacy, Alaska, hoping to to get away from the traumatic death of his partner back in Baltimore. He meets Meg, an independent bush pilot, whose father is found dead in a mountain cave.",120,1597,5.8
CSI: Immortality,2015,Crime|Drama|Mystery|Thriller,cell-phone-video|cell-phone|name-calling|b-word|copaganda|casino|explosion|bombing|bomber|series-finale|latex-gloves|jump-the-shark|declaration-of-love|yellow-cab|female-boss|clapping-hands|job-promotion|crying-man|man-crying|reference-to-the-52-hertz-whale|emotional-attachment|parking-garage|synthetic-cadaver|rhyming|sex-therapist|mother-daughter-relationship|drag-queen|transvestite|jealous-ex-wife|tea-drinking|interrogation|crucifix-pendant|exploding-car|burning-man|school-play|safe-word|female-suicide-bomber|blast-suit|bomb-suit|redheaded-woman|building-a-bomb|autopsy|dead-body-on-slab|reunited-friends|old-friends-reunited|harbor-patrol|colleagues-hugging|crime-scene-investigator|surveillance-footage|muslim-woman|thick-accent|los-angeles-california|las-vegas-nevada|san-diego-california|explosive-vest|rhyme|male-female-hug|fingerprint|car-alarm|c4-explosives|bomb-timer-counting-down|speaking-in-rhyme|coordinates|x-marks-the-spot|video-message|sd-card|suitcase|body-in-a-suitcase|dna-swab|telling-someone-to-shut-up|person-on-fire|man-on-fire|burnt-corpse|key|ear-piece|bee|bee-sting|abbreviation-in-title|dominatrix|sailing-into-the-sunset|ex-husband-ex-wife-relationship|car-bomb|bomb-disposal-unit|bomb-scare|bomb-explosion|suicide-bomber|female-fbi-agent|returning-character|shark-fin,"An explosion inside a casino brings Catherine Willows back to Las Vegas to investigate. And when the crime is tied to Lady Heather, Gil Grissom is brought back as well to aid the investigation.",87,1590,7.5
Miracle in Manhattan,2010,Comedy|Drama|Family|Fantasy,christmas|department-store|punctuation-in-title|abbreviation-in-title|period-in-title|winter|coincidence|deus-ex-machina|sequel|character-name-in-title,"No one celebrates the holidays like Emily Merkle - or Mrs. Miracle as she is known by some - who is back to ensure that this Christmas is the most magical and meaningful of all. When Mrs. Miracle appears as a seasonal employee in the toy department at the financially troubled Finley's Department Store, neither the store's owners, nor the customers, have any idea of the events that are about to unfold. Just when it seemed Christmas might not come at all this year, Finley's favorite employee proves they don't call her Mrs. Miracle for nothing!",90,1588,6.8
When Calls the Heart,2013,Comedy|Drama|Romance,canadian-mountie|teacher|story-within-a-story|diary|reading-someone-else's-diary|aunt|year-1910|wolf|sister-sister-relationship|poison-ivy|mouse|1910s|female-teacher|prairies|sexy-teacher|alberta|canada|canadian-woman|western-canada|canadian-prairies|coal-valley|mining-town|coal-mining|coal|canadian-frontier|frontier|frontier-town|charity|fund-raising|frightened-woman|compass|traveling|outlaw|children|misunderstanding|young-woman|small-town,"Elizabeth Thatcher, a cultured young teacher in 1910, fears leaving her comfortable world in the city. But when she accepts a teaching position in a frontier town, she finds new purpose and love with a handsome Royal Canadian Mountie.",90,1586,6.6
Amish Grace,2010,Biography|Drama,laundry-drying-on-a-clothesline|schoolhouse|television-reporter|amish|forgiveness|pennsylvania|faith|religious-community|deacon|cornfield|cameraman|funeral|journalist|farmer|reporter|hate|husband-wife-relationship|murder-suicide|loss-of-husband|loss-of-child|mass-murder|grief|lancaster-county|child-murder|tragedy|murder|school-shooting|based-on-true-story|based-on-book,"When a gunman killed five Amish children and injured five others in a Nickel Mines, Pennsylvania schoolhouse shooting in October of 2006, the world media attention rapidly turned from the tragic events to the extraordinary forgiveness demonstrated by the Amish community. Through the eyes of a grieving mother, Ida Graber, and other devastated families, this movie explores the Amish's astonishing reaction to the horrific shootings - of forgiveness and compassion.",89,1584,7.1
The Leisure Class,2015,Comedy,based-on-short-film,"William is a debonair Englishman celebrating his upcoming marriage to Fiona, the beautiful daughter of a United States senator and renowned East Coast family. Yet William is a con man with a fake identity looking steal funds from the senator's charitable organization. When William realizes he has genuine feelings for Fiona he begins to regret his predicament.",86,1583,3.9
"My Teacher, My Obsession",2018,Drama|Thriller,camera|high-school-teacher|eavesdropping|cell-phone|reference-to-bruno-mars|reference-to-the-beatles|reference-to-taylor-swift|strong-female-character|obsession|male-objectification|bare-chested-male|man-wrapped-in-a-towel|wrapped-in-a-towel|repetition-in-title|teacher|student|f-rated|female-protagonist|female-lead|high-school|high-school-student|new-in-school|teenage-girl|teenager|reference-to-rihanna|older-man-younger-woman-romance|older-man-younger-woman-relationship|older-man-younger-woman-sex|male-teacher-female-student-sex|male-teacher-female-student-affair|male-teacher-female-student-relationship|male-teacher-female-student-kiss,"Riley struggles to meet friends after transferring to a new high school where her father is an English teacher. When she meets Kyla, a fellow loner, they become close friends until Riley learns that Kyla is obsessed with her father.",90,1582,4.4
House of Bones,2010,Horror|Mystery|Thriller,ghost|haunted-house|well|fence|no-survivors|blood|film-crew|surprise-ending,"Corin Nemec (Mansquito, SS Doomtrooper) co-stars alongside Carpenter as TV ghost hunters that enter a reportedly haunted house that may prove to be the death of them.",90,1576,4.4
The Five(ish) Doctors Reboot,2013,Comedy|Drama,doctor-who|actor-playing-himself|actor|actor-writer|actor-director-writer|actor-director|self-mocking|in-joke|comedy-trio|number-in-title,"With the 50th anniversary of Doctor Who (1963) approaching, former Doctors Peter Davison, Colin Baker and Sylvester McCoy try to sneak onto the set of the anniversary special.",30,1568,8.6
Dolly Parton's Coat of Many Colors,2015,Drama|Family,mother-daughter-relationship|father-daughter-relationship|bully|1950s|death-of-child,"Based on the inspiring true story of living legend Dolly Parton's remarkable upbringing, this once-in-a-lifetime movie special takes us inside the tight-knit Parton family as they struggle to overcome devastating tragedy and discover the healing power of love, faith and a raggedy patchwork coat that helped make Dolly who she is today. Over the years, many have attempted to bring this story to life, and now, finally, fans across America can experience the heartwarming tale of a courageous nine-year-old girl from Tennessee and the loving family that taught her the power of inner strength.",81,1567,8.0
Dater's Handbook,2016,Comedy|Drama|Romance,competition|dog|dancing|dinner|embarrassment|kissing|poison|party|therapy|gift,Cass is a successful business woman that appears unsuccessful in her personal life and decides to try The Daters Handbook at her sisters encouragement and dates several guys to test the process,83,1558,6.0
Appetite for Love,2016,Comedy|Romance,small-town|old-flame|diner,"A corporate executive is sent to a small town to re-brand a restaurant as part of a strategic acquisition, but the iconic diner happens to be in her home town where she hasn't been in years and the owner is her high school sweetheart.",84,1552,6.2
Louis Theroux: Savile,2016,Documentary,sexual-victim|sex-abuse|child-abuse|pedophile|allegation|name-in-title|three-word-title|abuse-victim|victim|eccentric|extrovert|documentary-subject's-name-in-title|archive-footage|reference-to-jimmy-savile|british|pedophilia,"In light of numerous allegations of abuse and sexual violence against the late Sir Jimmy Savile, Louis Theroux re-examines his media relationship with the enigmatic public figure.",75,1550,7.4
Lake Placid: Legacy,2018,Action|Horror|Sci-Fi|Thriller,sequel|hacking|crocodile|giant-crocodile|geiger-counter|sister-sister-relationship|practical-joke|middle-finger|giving-the-finger|boat|singing-row-row-row-your-boat|woods|severed-arm|camera|blood|gore|vomiting|lake|underwater|underwater-scene|leg-wound|leg-splint|scared|handgun|falling-from-height|island|reference-to-frankenstein|facility|flare|bat|head-bitten-off|creature-feature|swimming|electrocuted|cgi|torso-bit-in-half|blood-splatter|self-sacrifice|pointless-self-sacrifice|corpse|tranquilizer-gun|chase|death|axe|lighter|burned-to-death|fire|excavator|sequel-baiting|seattle-washington|access-card|ecoterrorism|reference-to-yoko-ono|television-news|trespassing|bolt-cutter|satellite-phone|dead-body-in-a-tree|abandoned-mine|acrophobia|reference-to-coney-island|crow|intercom|decapitated|doused-with-gasoline|sixth-part|psychotronic-film,"Legacy finds the team of young explorers out to reveal the secrets of an area removed from modern day maps and hidden behind electric fences. However, once they reach the center of the lake, they discover an island that harbors an abandoned facility with a horrific legacy: the island is home to a deadly predator eager to feast on those dumb enough to ignore the warnings. But before they can turn back, our hapless heroes get dragged into a battle for their lives -- and will need to work together if they hope to survive.",93,1547,3.5
Ice Twisters,2009,Action|Adventure|Drama|Sci-Fi|Thriller,disaster-movie|disaster-film|science-fiction-author|wifi|weather-control|train-wreck|tornado|sudden-temperature-drop|student-reporter|secret-project|multiple-vortex-tornado|manmade-environmental-disaster|laser-beam|government-vs-science|freeze-to-death|experiment-gone-wrong|drone|cloud-seeding|city-in-peril|cell-phone|camcorder|below-freezing,"Charlie Price, a former scientist turned science fiction author, starts living one of his novels when the Federal Science Foundation's weather experiments escape control and turn disastrous.",86,1547,4.1
Sarajevo,2014,Drama|History|War,crown-prince|austro-hungarian|shot-to-death|woman-shot|freedom-fighter|dismay|firearm|visit|car-ride|assassination|sunday|summertime|uniform|place-name-in-title|year-1914|reenactment,"On June 28, 1914, Archduke Franz Ferdinand of Austria is in Sarajevo with his wife, Sophie. While through the city by car, they are victims of an attack and die. This is the trigger of the First World War.",98,1542,6.8
Polar Storm,2009,Action|Adventure|Drama|Sci-Fi|Thriller,disaster-movie|disaster-film,A comet passes near the Earth and disturbs Earth's magnetic field.,92,1542,3.7
Window Wonderland,2013,Comedy|Family|Romance,christmas,"A department-store window decorator learns there is a vacancy for her dream job in the run-up to Christmas, only to find a professional rival has his eye on it too.",90,1541,6.8
A Very Potter Sequel,2010,Comedy|Musical,psychotronic-film,"Harry and his pals are back for more adventures when they face off against dark wizards, demented monsters, and the most horrible woman in the world, Dolores Umbridge! So strap on your diapers because it's time to go back to Hogwarts.",213,1537,8.8
Perfect Match,2015,Comedy|Drama|Romance,wedding|cooperation,"Forced to work together, two event planners learn that opposites can produce the most unexpected results.",84,1534,6.0
Seeds of Yesterday,2015,Drama|Horror|Mystery|Thriller,mansion|male-rear-nudity|male-nudity|incest|religious|ballet-dancer|ballet|nudity|attic|adultery|affair|religious-zealot|paralyzed-man|hospital|sequel|brother-sister-incest|father-son-relationship|mother-son-relationship|sex-scene|man-wearing-towel|male-in-towel|man-in-towel|male-underwear|infidelity|cheating-wife|female-nudity|brother-sister-romance|reference-to-brother-sister-incest|birthday|manor|dancer|caught-having-sex|embarrassing-nudity|embarrassing-male-nudity|flirting|family-curse|happy-ending|dancing|birthday-party|extramarital-affair|hit-by-a-car|car-accident|sleeping-pill|chapel|swimming-pool|suicide-attempt|secret|confrontation|death-of-husband|funeral|rejection|nanny|rivalry|seduction|birth|pregnancy|woman-crying|crying-woman|religious-nut|self-mutilation|blood|knife|abusive-relationship|adopted-sister|brother-sister-relationship|paralysis|wheelchair|twins|baptism|reading-of-will|insanity|sex-with-brother-in-law|sex-with-sister-in-law|implied-nudity|boxer-briefs|hairy-chest|bare-chested-male|fourth-part|death-of-father,The Sheffield family deals with home truths as their middle child inherits the Foxworth mansion with the family's ghosts ever-looming. The curse lives on and more tragedies are in store.,86,1530,5.9
Elevator Girl,2010,Comedy|Family|Romance,rich-boy-poor-girl|date|working-class|elevator|secretary|caterer|kiss|single-woman|best-friend|stuck-in-elevator|class-differences|female-protagonist|dinner-party|catering|attorney|cinderella|two-word-title|party|loyalty|gift|dancing|embarrassment|dinner,Modern Cinderella-romance where a young successful lawyer panics when he finds that he has fallen for a working-class girl.,88,1527,6.3
Best Christmas Party Ever,2014,Drama|Family|Romance,competition|boy|dancing|in-laws|dinner|jealousy|loyalty|party|ritual|chores|christmas,"Jennie Stanton (Torrey DeVitto) throws the best Christmas parties every year for her company, Petra's Parties. Things are a little different this year, as Petra is retiring and looks to the next generation to take over. Jennie thinks she has her new job in the bag, until Petra's charismatic nephew, Nick (Steve Lund), shows up as ""seasonal help"" and his natural talent and confidence clashes with Jennie's stern work ethic and traditional values. The pair battle it out for the top job with unmistakable chemistry and symmetry, but when the new owners of the legendary Tyrell's Toys put the bottom line before Christmas spirit, threatening to pull the plug on Tyrell's Toys' annual Christmas party for the community, Jennie and Nick are forced to work together to throw the greatest Christmas party ever.",84,1526,6.5
The Gabby Douglas Story,2014,Biography|Drama|Sport,pulled-hamstring|gymnastics|olympics|competition|champion|gymnast|medal|des-moines-iowa|sacrifice|gold-medal|iowa|coach|african-american|pommel-horse|looking-at-oneself-in-a-mirror|mirror|tears|crying|new-york-city|photographer|camera|watching-tv|brother-as-best-friend|best-friend|year-1995|year-2012|year-2011|teenager|leg-injury|contract|locker-room|trust|reference-to-jesus-christ|leotard|letter|amanar-vault|promise|illness|chutzpah|van|year-2009|reference-to-mary-lou-retton|reference-to-e-bay|bathtub|bath|year-2010|fear|courage|virginia-beach-virginia|newport-news-virginia|father-daughter-relationship|branched-chain-ketoaciduria|blood-deficiency|reference-to-bela-karolyi|magazine-cover|magazine|montage|slow-motion-scene|belief|baby|flower|heartbeat|confidence|waving-goodbye|athletic-training|pull-ups|repairing-a-chair|gymnast-chalk-powder|rearview-mirror|silent-treatment|luck|suitcase|host-family|drum|pawnshop|kiss-on-the-forehead|mother-in-law-son-in-law-relationship|narrated-by-title-character|trampoline|kiss-on-the-top-of-the-head|younger-version-of-character|cartwheel|prescription|borrowing-money|2012-olympics|debt-collector|running|hunger-strike|overdue-bill|choreography|pills|tumbling|gymnastics-class|text-messaging|san-jose-california|calendar|christmas|olympic-gold-medal|london-england|2012-london-olympics|gymnastics-balance-bar|gymnastics-uneven-bars|gymnastics-floor-exercise|athlete|flashback|flash-forward|pawning-a-ring|pawn-shop|ring|american-flag|jumping-on-a-bed|looking-for-a-job|eating|food|poverty|grandmother-granddaughter-relationship|reference-to-god|applause|audience|year-2002|bullying|jealousy|pay-phone|money|pride|food-stamps|12-year-old|voice-over-narration|archive-footage|prayer|telephone-call|telephone|abandoned-by-father|single-mother|family-relationships|dog|prologue|teenage-boy|boy|teenage-girl|girl|sister-sister-relationship|brother-sister-relationship|husband-wife-relationship|mother-daughter-relationship|black-american,The story of the international gymnastics phenomenon who overcame overwhelming odds to become the first African American ever to be named Individual All-Around Champion in artistic gymnastics at the Olympic Games.,86,1526,7.0
Big Time Movie,2012,Comedy,three-word-title|movie-in-title,"The boys from Big Time Rush travel to London for their first international tour and accidentally get involved in a dangerous device capable of destroying the world. Features covers of Beatles' songs, as well as original tunes.",68,1526,6.5
The Christmas Ornament,2013,Romance,adolescent|father-figure|boy|in-laws|dinner|jealousy|loyalty|party|ritual|gift|christmas,"A widow plans to give Christmas festivities a miss, as they bring back too many memories of her late husband.",83,1522,6.9
I'll Be Home for Christmas,2016,Drama|Family|Romance,father-daughter-relationship|tv-movie|granddaughter|traveller|dog|christmas,"Jackie Foster (Suvari), is a dynamic Assistant District Attorney and single mom. But when Jackie's estranged dad, Jack (Brolin), a gruff retired police officer, unexpectedly shows up at her door, they will be forced to confront old wounds.",84,1513,6.2
Zodiac: Signs of the Apocalypse,2014,Action|Sci-Fi,disaster-film|disaster-movie,"When a mysterious planet crosses the sun, global catastrophes are unleashed. A rogue scientist is the key to deciphering the symbols and humanity's only chance at survival.",89,1510,3.2
Social Nightmare,2013,Drama|Mystery|Thriller,social-network|psychopath|nervous-breakdown|computer|violence|mother-daughter-relationship|high-school,A student's chances of getting into a good college hang in the balance when inappropriate photos of her are posted on the Internet.,91,1509,4.8
Drew Peterson: Untouchable,2012,Drama,missing-person|missing-wife|police-officer|epilogue|undressing|news-footage|handcuffs|sunglasses|flashback|arrest|murder|barrel|garage|pastor|church|moving-in|father|bar|radio-host|unfaithful-husband|mustache|news-reporter|tv-reporter|television-reporter|hospital|drug-overdose|near-fatal-drug-overdose|motorcycle|mother|search-warrant|warrant|jealous-husband|rich-man|beer|extramarital-affair|reporter|media-frenzy|pregnant-woman|tv-interview|interview|hotel-clerk|cop|police|funeral|crying-woman|affair|husband-wife-relationship|abusive-husband|implied-male-nudity|implied-nudity,"Following the mysterious disappearance of his fourth wife, a man is accused of the murder of his third.",84,1507,6.0
Bigfoot,2012,Action|Adventure|Comedy|Horror|Sci-Fi|Thriller,stun-gun|psychotronic-film|hunt|giant-animal|eaten-alive|death-of-title-character|ends-with-death|rifle|screaming|footprint|bitten-to-death|falling-to-death|stomped-to-death|radio-news|dying|giant-creature|explosion|panic|military|lifting-person-in-air|sasquatch|beast|loss-of-friend|hunter|attack|small-town|mysterious-creature|monstrous-creature|man-eaten-by-monster|police-car|police|pick-up|roar|fear|blood|monster|reference-to-bigfoot|giant-monster|forest|helicopter|bigfoot|concert|snow|south-dakota|death-of-friend|independent-film|character-name-in-title|horror-spoof|spoof|one-word-title|b-movie|b-horror|evil-creature|monster-movie|creature-attack|human-versus-monster|monster-fear|kill|creature-feature|cgi,Two former musicians face off in the hunt for the legendary mountain creature.,89,1505,2.6
Holidaze,2013,Drama|Family|Romance,thanksgiving|small-town|workaholic|holiday-season|reference-to-mark-twain|family-values|tea-shop|amnesia|inn|council|word-play-in-title|corporate-versus-independent|hate|office|eminent-domain|casual-sex|old-photograph|injunction|race-against-time|apology|return-to-hometown|historical-landmark|job-offer|appeared-on-tv-news|news-report|watching-self-on-tv|character-appears-on-tv|reference-to-david-and-goliath|town-meeting|cafe|cafe-owner|alternate-reality|stuck-car-horn|corporate-executive|talking-in-bed|polyglot|subtitled-scene|memory-loss|escape-from-hospital|head-trauma|chicago-illinois|ex-fiance|tearoom|reference-to-twitter|talking-in-bed-after-sex|implied-sex|asking-someone-out-on-a-date|mark-twain-quotation|falling-down-stairs|station-wagon|ice-skating|traditional-values|mother-daughter-relationship|business-deal|cranial-trauma,"A corporate workaholic wakes up in an alternate universe, married to her childhood sweetheart.",86,1498,5.8
Finding Normal,2013,Comedy,doctor|sheriff|car|court|driving-a-car|african-american|bicycle|bike|bicycle-helmet|bike-helmet|latex-gloves|female-doctor|stethoscope,"The only thing standing between Dr. Lisa Leland (Candace Cameron Bure) and her dream wedding in the Hamptons is a 2600-mile drive from Los Angeles to Long Island. But a run-in with the law in the country town of Normal, North Carolina leaves Lisa with a choice: jail or community service. Sentenced to three days as the town's doctor, Lisa soon finds her world turned upside-down by a man and discovers a lot more to Normal.",90,1491,6.2
The Bling Ring,2011,Drama,first-day-of-school|reference-to-paris-hilton|reference-to-steven-spielberg|reference-to-robert-pattinson|leaving-a-house-unlocked|shopping-for-clothes|social-anxiety|hyperventilating|clubbing|television-news|bicycle-cop|reference-to-megan-fox|yogurt-shop|television-interview|video-taped-confession|protective-male|thumb-drive|handcuffed|mob-of-reporters|reference-to-howard-hughes|reference-to-orlando-bloom|wristwatch|sword|search-warrant|female-vomiting|woman-wearing-a-miniskirt|reference-to-lindsay-lohan|police-sting|facebook|crucifix-pendant|hoodie|visiting-grandmother|eye-drops|birthday-cake|reference-to-audrina-partridge|reference-to-rachel-bilson|fencing-stolen-property|security-video|reference-to-beyonce|security-camera|some-scenes-in-black-and-white|hundred-dollar-bill|champagne|vip-list|signed-high-heeled-shoes|operating-without-a-license|home-robbery|chihuahua|decaf-coffee|anxiety-attack|saying-grace|inspired-by-true-events|tiara|newscast|whispering-in-ear|little-black-dress|nightclub|breathing-in-bag|shoplifting|woman-revealing-garters|remedial-class|talking-to-the-camera|new-school,Teenagers break into celebrities houses to experience the rich life by stealing their belongings.,87,1491,5.2
A Dash of Love,2017,Comedy|Romance,food|boss|restaurant|chick-flick|boss-stealing-idea|workplace-romance|female-boss|cctv|valentine's-day|estranged-father|chef|cooking|surveillance-footage|pop-up-restaurant|spilling-coffee|secret-filming|colleague|recipes|new-job|getting-fired|restaurant-critic|restaurant-review|overheard-conversation|menu|restaurant-menu|work|office-assistant|watching-someone,"When an aspiring chef lands a dream job at her idol's restaurant, she befriends the handsome executive chef. After they are both wrongly fired from there, the duo decides to open their own eatery to prove their food is better.",120,1484,6.7
Zombie Night,2013,Horror|Thriller,characters-murdered-one-by-one|night|mausoleum|blood-on-camera-lens|cemetery|boy|zombie-child|gore|blood-splatter|siege|zombie,Zombies come out at night and two families must survive until morning.,88,1480,3.4
Rent: Live,2019,Musical,year-1991|answering-machine|screening-telephone-calls|mugged|christmas-eve|live-television|reference-to-spike-lee|tango|reference-to-ginger-rogers|hiv|new-york-city|pay-phone|squatting|breaking-and-entering|year-1992|valentine's-day|new-year's-eve,"The story of several friends in New York City facing financial poverty, homophobia, AIDS, and, of course, rent.",134,1473,6.7
A Taste of Romance,2012,Comedy|Drama|Family|Romance,fire|prank|f-rated|rescue|medical-examination|picnic|sabotage|dancing,"Widower Gill Callahan retired from the fire department after a tragedy. Helped out by some mates, he starts a diner, offering simple food to their taste. The matching music is too much for the elitist taste of his neighbor, Sara Westbrook, who just started a French restaurant and aspires a refined reputation utterly clashing with the working class neighborhood, leading to a prank war. Gill's daughter Hannah befriends Sara and ends up acting as matchmaker, helped by fate in what seems tragedy.",90,1473,6.6
"Dirty John, The Dirty Truth",2019,Documentary|Crime,tv-mini-series|reenactment|partially-reenacted,"Docuseries of ""Dirty"" John Meehan, based on the true crime podcast.",88,1472,6.0
A Nanny for Christmas,2010,Comedy,christmas,Ally is a smart young career woman who needs a new job. Samantha is a busy Beverly Hills advertising executive/mom whose too-well-mannered kids need some fun in their lives. And Danny Donner is the tough-guy owner of a chocolate company who wants a major ad campaign immediately. Could these three lives intertwining lead to the Christmas that changes everyone's worlds forever?,90,1468,5.3
